Běluň I;50.45500;15.94028;Náchod;
Bělušice;50.06833;15.32333;Kolín;
Bělušice;50.45194;13.76417;Most;
Bělý;50.51222;16.26861;Náchod;
Bělýšov;49.45972;13.20750;Klatovy;
Benátecká Vrutice;50.23278;14.84139;NB;
Benátky;49.62611;18.45778;Frýdek-Místek;
Benátky;49.71111;15.85000;Havlíčkův Brod;
Benátky;50.31250;15.73694;Hradec Králové;
Benátky;48.90389;14.86194;Jindřichův Hradec;
Benátky;49.90222;14.93250;Kutná Hora;
Benátky;49.63556;18.14472;Nový Jičín;
Benátky;49.67444;17.24167;Olomouc;
Benátky;49.34472;15.24972;Pelhřimov;
Benátky;50.21917;16.33333;Rychnov nad Kněžnou;
Benátky;49.85583;16.32972;Svitavy;
Benátky;49.63222;16.22194;Žďár nad Sázavou;
Benátky nad Jizerou;50.28972;14.82806;Mladá Boleslav;
Bendovo Záhoří;49.50333;14.81167;Tábor;
Bendův Mlýn;49.04556;16.13583;Třebíč;
Bendův Mlýn;49.04556;16.13583;Znojmo;
Benecko;50.67389;15.55500;Semily;
Beneda;49.11083;13.92444;Prachatice;
Benešky;49.39722;18.29250;Vsetín;
Benešov;49.51000;16.77139;Blansko;
Benešov;49.78278;14.69278;Benešov;
Benešov;50.61500;16.34917;Náchod;
Benešov;49.34222;15.00222;Pelhřimov;
Benešov;49.37194;15.86500;Žďár nad Sázavou;
Benešov nad Černou;48.72861;14.62806;Český Krumlov;
Benešov nad Ploučnicí;50.74139;14.31389;Děčín;
Benešov u Semil;50.60417;15.36278;Semily;
Benešova Hora;49.12361;13.70111;Prachatice;
Benešovice;50.60889;14.96361;Liberec;
Benešovice;50.01833;15.55972;Pardubice;
Benešovice;49.72944;12.90417;Tachov;
Benešovský Mlýn;49.23778;14.15222;Písek;
Benetice;49.68361;15.35722;Havlíčkův Brod;
Benetice;49.29944;15.86639;Třebíč;
Benice;49.79278;14.55333;Benešov;
Benice;50.01528;14.60556;Praha;
Benkov;49.76861;17.07500;Olomouc;
Benkov;49.89361;17.02361;Šumperk;
Benkovice;49.86778;17.83889;Opava;
Beňov;49.41500;17.49917;Přerov;
Beňovy;49.39222;13.26694;Klatovy;
Benzínov;50.44028;14.34722;Litoměřice;
Beranec;50.24722;16.29278;Rychnov nad Kněžnou;
Beraní Dvůr;50.23389;12.98889;Karlovy Vary;
Beraní Dvůr;50.20417;13.45444;Louny;
Beraní Dvůr;49.69444;13.03528;Tachov;
Beranka;49.50167;16.39944;Blansko;
Beranov;50.00028;12.90083;Karlovy Vary;
Beranova Lhota;49.48250;14.71222;Tábor;
Beranovec;49.31639;15.57222;Jihlava;
Beranovka;49.94306;12.84722;Karlovy Vary;
